BINARY POLYHEDRAL GROUPS ATLAS
================================================================================
Verified via Conway & Smith (2003) generator theorem.
Four synthesis strategies (2×2 grid):
  BFS SU(2):      min depth, exact SU(2) match.
  Dijkstra SU(2): min magic cost then depth, exact SU(2) match.
  BFS PU(2):      min depth, matching up to global phase.
  Dijkstra PU(2): min magic cost then depth, matching up to global phase.
Phase φ: a word read in the standard gates equals φ · U_q, the row's unitary, with ω = e^(iπ/4) a primitive 8th root of unity.

CONVENTIONS:
Gate sequences are in operator order (left to right): F X means F · X.
In circuit notation this corresponds to applying X first, then F.
F = HS† is included as a named generator for uniformity across the three groups.
For 2O, it is algebraically redundant with H and S.

NOTE ON SU(2) REPRESENTATION:
Each standard gate G is symmetrized as G_SU(2) = phase · G_U(2) to ensure det = 1.
The dagger (†) denotes the algebraic inverse in this SU(2) representation.
For Hermitian gates (X, Z, H): G† physically means applying G with a global -1 phase.

NOTE ON THE φ COLUMNS:
φ belongs to a word, not to an element: it collects the symmetrization scalars above and
the ± recording which member of the pair the word landed on.
Both φ columns here are the PU(2) words' -- the columns they sit in. One PU(2) word serves
both rows of a pair (the b-row's word cell is a ditto mark), so its φ reads φ on the a-row
and -φ on the b-row, on all 96 pairs.
atlas.tex prints the SU(2) min-magic words' phases instead: same definition, different word, so the
two files disagree on the b-rows of the 12 pairs (min magic) whose own two SU(2) words are not
one U(2) operator -- and would on 19 pairs under min depth, a block atlas.tex does not print:
this file is the home of the min-depth SU(2) words (Appendix A reprints one 2I pair).
Use the φ printed beside the word you actually run.

Rows are grouped in antipodal pairs (q, -q) to show the SU(2) double cover, the BFS-shallower member as the a-row.
The PU(2) word is printed once per pair (the b-row shows a ditto mark): both elements are one PU(2) element, i.e. one SO(3) rotation.
Pairs are ordered by magic cost, then depth, then the word -- the order of atlas.tex.

NOTE ON DIJKSTRA vs BFS:
For 2I, Dijkstra may prefer longer Clifford-heavy sequences over shorter ones
containing multiple Φ gates, reflecting the high cost of non-Clifford resources
in fault-tolerant quantum computing.


##################################################################################################################################################################################################################################################################################################
GROUP: Binary Tetrahedral Group 2T (Order 24, 12 antipodal pairs)
##################################################################################################################################################################################################################################################################################################
Idx  | BFS SU(2)                 | Dep | Dij SU(2)                 | Mag | Dep | BFS PU(2)                 | Dep | φ      | Dij PU(2)                 | Mag | Dep | φ      | Quaternion                                         | Unitary
14 a | Φ†                        | 1   | Φ†                        | 1   | 1   | Φ†                        | 1   | 1      | Φ†                        | 1   | 1   | 1      | [τ/2, -σ/2, -1/2, 0]                               | [[-i*σ/2+τ/2, -1/2], [1/2, i*σ/2+τ/2]]
14 b | X X Φ†                    | 3   | X X Φ†                    | 1   | 3   | "                         | "   | -1     | "                         | "   | "   | -1     | [-τ/2, σ/2, 1/2, 0]                                | [[i*σ/2-τ/2, 1/2], [-1/2, -i*σ/2-τ/2]]

15 a | F Φ                       | 2   | F Φ                       | 1   | 2   | F Φ                       | 2   | ω      | F Φ                       | 1   | 2   | ω      | [τ/2, 0, -σ/2, -1/2]                               | [[τ/2, -σ/2-i/2], [σ/2-i/2, τ/2]]
15 b | F† F† Φ                   | 3   | F† F† Φ                   | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-τ/2, 0, σ/2, 1/2]                                | [[-τ/2, σ/2+i/2], [-σ/2+i/2, -τ/2]]

16 a | F Φ†                      | 2   | F Φ†                      | 1   | 2   | F Φ†                      | 2   | ω      | F Φ†                      | 1   | 2   | ω      | [0, -τ/2, -1/2, -σ/2]                              | [[-i*τ/2, -i*σ/2-1/2], [-i*σ/2+1/2, i*τ/2]]
16 b | Φ F†                      | 2   | Φ F†                      | 1   | 2   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [0, τ/2, 1/2, σ/2]                                 | [[i*τ/2, i*σ/2+1/2], [i*σ/2-1/2, -i*τ/2]]

17 a | F† Φ                      | 2   | F† Φ                      | 1   | 2   | F† Φ                      | 2   | ω^-1   | F† Φ                      | 1   | 2   | ω^-1   | [0, σ/2, τ/2, 1/2]                                 | [[i*σ/2, τ/2+i/2], [-τ/2+i/2, -i*σ/2]]
17 b | Φ† F                      | 2   | Φ† F                      | 1   | 2   | "                         | "   | ω^3    | "                         | "   | "   | ω^3    | [0, -σ/2, -τ/2, -1/2]                              | [[-i*σ/2, -τ/2-i/2], [τ/2-i/2, i*σ/2]]

18 a | F† Φ†                     | 2   | F† Φ†                     | 1   | 2   | F† Φ†                     | 2   | ω^-1   | F† Φ†                     | 1   | 2   | ω^-1   | [τ/2, 1/2, 0, σ/2]                                 | [[τ/2+i/2, i*σ/2], [i*σ/2, τ/2-i/2]]
18 b | F F Φ†                    | 3   | F F Φ†                    | 1   | 3   | "                         | "   | ω^3    | "                         | "   | "   | ω^3    | [-τ/2, -1/2, 0, -σ/2]                              | [[-τ/2-i/2, -i*σ/2], [-i*σ/2, -τ/2+i/2]]

19 a | X Φ                       | 2   | X Φ                       | 1   | 2   | X Φ                       | 2   | ω^2    | X Φ                       | 1   | 2   | ω^2    | [0, 1/2, -σ/2, -τ/2]                               | [[i/2, -σ/2-i*τ/2], [σ/2-i*τ/2, -i/2]]
19 b | X† Φ                      | 2   | X† Φ                      | 1   | 2   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, -1/2, σ/2, τ/2]                                | [[-i/2, σ/2+i*τ/2], [-σ/2+i*τ/2, i/2]]

20 a | X Φ†                      | 2   | X Φ†                      | 1   | 2   | X Φ†                      | 2   | ω^2    | X Φ†                      | 1   | 2   | ω^2    | [0, -1/2, σ/2, -τ/2]                               | [[-i/2, σ/2-i*τ/2], [-σ/2-i*τ/2, i/2]]
20 b | X† Φ†                     | 2   | X† Φ†                     | 1   | 2   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 1/2, -σ/2, τ/2]                                | [[i/2, -σ/2+i*τ/2], [σ/2+i*τ/2, -i/2]]

21 a | Z Φ                       | 2   | Z Φ                       | 1   | 2   | Z Φ                       | 2   | ω^2    | Z Φ                       | 1   | 2   | ω^2    | [σ/2, -τ/2, 0, -1/2]                               | [[σ/2-i*τ/2, -i/2], [-i/2, σ/2+i*τ/2]]
21 b | Z† Φ                      | 2   | Z† Φ                      | 1   | 2   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [-σ/2, τ/2, 0, 1/2]                                | [[-σ/2+i*τ/2, i/2], [i/2, -σ/2-i*τ/2]]

22 a | Z Φ†                      | 2   | Z Φ†                      | 1   | 2   | Z Φ†                      | 2   | ω^2    | Z Φ†                      | 1   | 2   | ω^2    | [-σ/2, -τ/2, 0, 1/2]                               | [[-σ/2-i*τ/2, i/2], [i/2, -σ/2+i*τ/2]]
22 b | Z† Φ†                     | 2   | Z† Φ†                     | 1   | 2   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [σ/2, τ/2, 0, -1/2]                                | [[σ/2+i*τ/2, -i/2], [-i/2, σ/2-i*τ/2]]

23 a | Φ F                       | 2   | Φ F                       | 1   | 2   | Φ F                       | 2   | ω      | Φ F                       | 1   | 2   | ω      | [τ/2, -1/2, 0, -σ/2]                               | [[τ/2-i/2, -i*σ/2], [-i*σ/2, τ/2+i/2]]
23 b | Φ F† F†                   | 3   | Φ F† F†                   | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-τ/2, 1/2, 0, σ/2]                                | [[-τ/2+i/2, i*σ/2], [i*σ/2, -τ/2-i/2]]

24 a | Φ Z                       | 2   | Φ Z                       | 1   | 2   | Φ Z                       | 2   | ω^2    | Φ Z                       | 1   | 2   | ω^2    | [σ/2, -τ/2, 0, 1/2]                                | [[σ/2-i*τ/2, i/2], [i/2, σ/2+i*τ/2]]
24 b | Φ Z†                      | 2   | Φ Z†                      | 1   | 2   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [-σ/2, τ/2, 0, -1/2]                               | [[-σ/2+i*τ/2, -i/2], [-i/2, -σ/2-i*τ/2]]

25 a | Φ† F†                     | 2   | Φ† F†                     | 1   | 2   | Φ† F†                     | 2   | ω^-1   | Φ† F†                     | 1   | 2   | ω^-1   | [τ/2, 0, σ/2, 1/2]                                 | [[τ/2, σ/2+i/2], [-σ/2+i/2, τ/2]]
25 b | Φ† F F                    | 3   | Φ† F F                    | 1   | 3   | "                         | "   | ω^3    | "                         | "   | "   | ω^3    | [-τ/2, 0, -σ/2, -1/2]                              | [[-τ/2, -σ/2-i/2], [σ/2-i/2, -τ/2]]

26 a | Φ† Z                      | 2   | Φ† Z                      | 1   | 2   | Φ† Z                      | 2   | ω^2    | Φ† Z                      | 1   | 2   | ω^2    | [-σ/2, -τ/2, 0, -1/2]                              | [[-σ/2-i*τ/2, -i/2], [-i/2, -σ/2+i*τ/2]]
26 b | Φ† Z†                     | 2   | Φ† Z†                     | 1   | 2   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [σ/2, τ/2, 0, 1/2]                                 | [[σ/2+i*τ/2, i/2], [i/2, σ/2-i*τ/2]]

27 a | F X Φ                     | 3   | F X Φ                     | 1   | 3   | F X Φ                     | 3   | ω^3    | F X Φ                     | 1   | 3   | ω^3    | [-σ/2, 1/2, -τ/2, 0]                               | [[-σ/2+i/2, -τ/2], [τ/2, -σ/2-i/2]]
27 b | F X† Φ                    | 3   | F X† Φ                    | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [σ/2, -1/2, τ/2, 0]                                | [[σ/2-i/2, τ/2], [-τ/2, σ/2+i/2]]

28 a | F X Φ†                    | 3   | F X Φ†                    | 1   | 3   | F X Φ†                    | 3   | ω^3    | F X Φ†                    | 1   | 3   | ω^3    | [-1/2, σ/2, 0, -τ/2]                               | [[i*σ/2-1/2, -i*τ/2], [-i*τ/2, -i*σ/2-1/2]]
28 b | F X† Φ†                   | 3   | F X† Φ†                   | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, -σ/2, 0, τ/2]                                | [[-i*σ/2+1/2, i*τ/2], [i*τ/2, i*σ/2+1/2]]

29 a | F Φ F                     | 3   | F Φ F                     | 1   | 3   | F Φ F                     | 3   | ω^2    | F Φ F                     | 1   | 3   | ω^2    | [0, -1/2, -σ/2, -τ/2]                              | [[-i/2, -σ/2-i*τ/2], [σ/2-i*τ/2, i/2]]
29 b | F† Φ† F†                  | 3   | F† Φ† F†                  | 1   | 3   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-2   | [0, 1/2, σ/2, τ/2]                                 | [[i/2, σ/2+i*τ/2], [-σ/2+i*τ/2, -i/2]]

30 a | F Φ† Z                    | 3   | F Φ† Z                    | 1   | 3   | F Φ† Z                    | 3   | ω^3    | F Φ† Z                    | 1   | 3   | ω^3    | [-τ/2, 0, σ/2, -1/2]                               | [[-τ/2, σ/2-i/2], [-σ/2-i/2, -τ/2]]
30 b | F Φ† Z†                   | 3   | F Φ† Z†                   | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [τ/2, 0, -σ/2, 1/2]                                | [[τ/2, -σ/2+i/2], [σ/2+i/2, τ/2]]

31 a | F† Z Φ                    | 3   | F† Z Φ                    | 1   | 3   | F† Z Φ                    | 3   | ω      | F† Z Φ                    | 1   | 3   | ω      | [τ/2, -1/2, 0, σ/2]                                | [[τ/2-i/2, i*σ/2], [i*σ/2, τ/2+i/2]]
31 b | F† Z† Φ                   | 3   | F† Z† Φ                   | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-τ/2, 1/2, 0, -σ/2]                               | [[-τ/2+i/2, -i*σ/2], [-i*σ/2, -τ/2-i/2]]

32 a | F† Z Φ†                   | 3   | F† Z Φ†                   | 1   | 3   | F† Z Φ†                   | 3   | ω      | F† Z Φ†                   | 1   | 3   | ω      | [0, -σ/2, -τ/2, 1/2]                               | [[-i*σ/2, -τ/2+i/2], [τ/2+i/2, i*σ/2]]
32 b | F† Z† Φ†                  | 3   | F† Z† Φ†                  | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [0, σ/2, τ/2, -1/2]                                | [[i*σ/2, τ/2-i/2], [-τ/2-i/2, -i*σ/2]]

33 a | F† Φ† Z                   | 3   | F† Φ† Z                   | 1   | 3   | F† Φ† Z                   | 3   | ω      | F† Φ† Z                   | 1   | 3   | ω      | [1/2, -τ/2, -σ/2, 0]                               | [[-i*τ/2+1/2, -σ/2], [σ/2, i*τ/2+1/2]]
33 b | F† Φ† Z†                  | 3   | F† Φ† Z†                  | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, τ/2, σ/2, 0]                                | [[i*τ/2-1/2, σ/2], [-σ/2, -i*τ/2-1/2]]

34 a | X F Φ                     | 3   | X F Φ                     | 1   | 3   | X F Φ                     | 3   | ω^3    | X F Φ                     | 1   | 3   | ω^3    | [-1/2, -σ/2, 0, -τ/2]                              | [[-i*σ/2-1/2, -i*τ/2], [-i*τ/2, i*σ/2-1/2]]
34 b | X† F Φ                    | 3   | X† F Φ                    | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, σ/2, 0, τ/2]                                 | [[i*σ/2+1/2, i*τ/2], [i*τ/2, -i*σ/2+1/2]]

35 a | X F Φ†                    | 3   | X F Φ†                    | 1   | 3   | X F Φ†                    | 3   | ω^3    | X F Φ†                    | 1   | 3   | ω^3    | [-σ/2, -1/2, τ/2, 0]                               | [[-σ/2-i/2, τ/2], [-τ/2, -σ/2+i/2]]
35 b | X Φ F†                    | 3   | X† F Φ†                   | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [σ/2, 1/2, -τ/2, 0]                                | [[σ/2+i/2, -τ/2], [τ/2, σ/2-i/2]]

36 a | X F† Φ                    | 3   | X F† Φ                    | 1   | 3   | X F† Φ                    | 3   | ω      | X F† Φ                    | 1   | 3   | ω      | [1/2, τ/2, -σ/2, 0]                                | [[i*τ/2+1/2, -σ/2], [σ/2, -i*τ/2+1/2]]
36 b | X Φ† F                    | 3   | X† F† Φ                   | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, -τ/2, σ/2, 0]                               | [[-i*τ/2-1/2, σ/2], [-σ/2, i*τ/2-1/2]]

37 a | X F† Φ†                   | 3   | X F† Φ†                   | 1   | 3   | X F† Φ†                   | 3   | ω      | X F† Φ†                   | 1   | 3   | ω      | [σ/2, 0, -1/2, -τ/2]                               | [[σ/2, -i*τ/2-1/2], [-i*τ/2+1/2, σ/2]]
37 b | X† F† Φ†                  | 3   | X† F† Φ†                  | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-σ/2, 0, 1/2, τ/2]                                | [[-σ/2, i*τ/2+1/2], [i*τ/2-1/2, -σ/2]]

38 a | X Z Φ                     | 3   | X Z Φ                     | 1   | 3   | X Z Φ                     | 3   | -1     | X Z Φ                     | 1   | 3   | -1     | [-1/2, 0, τ/2, -σ/2]                               | [[-1/2, -i*σ/2+τ/2], [-i*σ/2-τ/2, -1/2]]
38 b | X Z† Φ                    | 3   | X Z† Φ                    | 1   | 3   | "                         | "   | 1      | "                         | "   | "   | 1      | [1/2, 0, -τ/2, σ/2]                                | [[1/2, i*σ/2-τ/2], [i*σ/2+τ/2, 1/2]]

39 a | X Z Φ†                    | 3   | X Z Φ†                    | 1   | 3   | X Z Φ†                    | 3   | -1     | X Z Φ†                    | 1   | 3   | -1     | [1/2, 0, τ/2, σ/2]                                 | [[1/2, i*σ/2+τ/2], [i*σ/2-τ/2, 1/2]]
39 b | X Z† Φ†                   | 3   | X Z† Φ†                   | 1   | 3   | "                         | "   | 1      | "                         | "   | "   | 1      | [-1/2, 0, -τ/2, -σ/2]                              | [[-1/2, -i*σ/2-τ/2], [-i*σ/2+τ/2, -1/2]]

40 a | X Φ F                     | 3   | X Φ F                     | 1   | 3   | X Φ F                     | 3   | ω^3    | X Φ F                     | 1   | 3   | ω^3    | [-σ/2, 0, 1/2, -τ/2]                               | [[-σ/2, -i*τ/2+1/2], [-i*τ/2-1/2, -σ/2]]
40 b | X† Φ F                    | 3   | X† Φ F                    | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [σ/2, 0, -1/2, τ/2]                                | [[σ/2, i*τ/2-1/2], [i*τ/2+1/2, σ/2]]

41 a | X Φ Z                     | 3   | X Φ Z                     | 1   | 3   | X Φ Z                     | 3   | -1     | X Φ Z                     | 1   | 3   | -1     | [1/2, 0, τ/2, -σ/2]                                | [[1/2, -i*σ/2+τ/2], [-i*σ/2-τ/2, 1/2]]
41 b | X Φ Z†                    | 3   | X Φ Z†                    | 1   | 3   | "                         | "   | 1      | "                         | "   | "   | 1      | [-1/2, 0, -τ/2, σ/2]                               | [[-1/2, i*σ/2-τ/2], [i*σ/2+τ/2, -1/2]]

42 a | X Φ† F†                   | 3   | X Φ† F†                   | 1   | 3   | X Φ† F†                   | 3   | ω      | X Φ† F†                   | 1   | 3   | ω      | [1/2, σ/2, 0, -τ/2]                                | [[i*σ/2+1/2, -i*τ/2], [-i*τ/2, -i*σ/2+1/2]]
42 b | X† Φ† F†                  | 3   | X† Φ† F†                  | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, -σ/2, 0, τ/2]                               | [[-i*σ/2-1/2, i*τ/2], [i*τ/2, i*σ/2-1/2]]

43 a | X Φ† Z                    | 3   | X Φ† Z                    | 1   | 3   | X Φ† Z                    | 3   | -1     | X Φ† Z                    | 1   | 3   | -1     | [-1/2, 0, τ/2, σ/2]                                | [[-1/2, i*σ/2+τ/2], [i*σ/2-τ/2, -1/2]]
43 b | X Φ† Z†                   | 3   | X Φ† Z†                   | 1   | 3   | "                         | "   | 1      | "                         | "   | "   | 1      | [1/2, 0, -τ/2, -σ/2]                               | [[1/2, -i*σ/2-τ/2], [-i*σ/2+τ/2, 1/2]]

44 a | Z F Φ                     | 3   | Z F Φ                     | 1   | 3   | Z F Φ                     | 3   | ω^3    | Z F Φ                     | 1   | 3   | ω^3    | [0, -τ/2, -1/2, σ/2]                               | [[-i*τ/2, i*σ/2-1/2], [i*σ/2+1/2, i*τ/2]]
44 b | Z† F Φ                    | 3   | Z† F Φ                    | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [0, τ/2, 1/2, -σ/2]                                | [[i*τ/2, -i*σ/2+1/2], [-i*σ/2-1/2, -i*τ/2]]

45 a | Z F Φ†                    | 3   | Z F Φ†                    | 1   | 3   | Z F Φ†                    | 3   | ω^3    | Z F Φ†                    | 1   | 3   | ω^3    | [-τ/2, 0, -σ/2, 1/2]                               | [[-τ/2, -σ/2+i/2], [σ/2+i/2, -τ/2]]
45 b | Z Φ F†                    | 3   | Z† F Φ†                   | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [τ/2, 0, σ/2, -1/2]                                | [[τ/2, σ/2-i/2], [-σ/2-i/2, τ/2]]

46 a | Z F† Φ                    | 3   | Z F† Φ                    | 1   | 3   | Z F† Φ                    | 3   | ω      | Z F† Φ                    | 1   | 3   | ω      | [σ/2, 0, 1/2, -τ/2]                                | [[σ/2, -i*τ/2+1/2], [-i*τ/2-1/2, σ/2]]
46 b | Z Φ† F                    | 3   | Z† F† Φ                   | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-σ/2, 0, -1/2, τ/2]                               | [[-σ/2, i*τ/2-1/2], [i*τ/2+1/2, -σ/2]]

47 a | Z F† Φ†                   | 3   | Z F† Φ†                   | 1   | 3   | Z F† Φ†                   | 3   | ω      | Z F† Φ†                   | 1   | 3   | ω      | [1/2, -τ/2, σ/2, 0]                                | [[-i*τ/2+1/2, σ/2], [-σ/2, i*τ/2+1/2]]
47 b | Z† F† Φ†                  | 3   | Z† F† Φ†                  | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^-3   | [-1/2, τ/2, -σ/2, 0]                               | [[i*τ/2-1/2, -σ/2], [σ/2, -i*τ/2-1/2]]

48 a | Z Φ F                     | 3   | Z Φ F                     | 1   | 3   | Z Φ F                     | 3   | ω^3    | Z Φ F                     | 1   | 3   | ω^3    | [-1/2, -τ/2, -σ/2, 0]                              | [[-i*τ/2-1/2, -σ/2], [σ/2, i*τ/2-1/2]]
48 b | Z† Φ F                    | 3   | Z† Φ F                    | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [1/2, τ/2, σ/2, 0]                                 | [[i*τ/2+1/2, σ/2], [-σ/2, -i*τ/2+1/2]]

49 a | Z Φ Z                     | 3   | Z Φ Z                     | 1   | 3   | Z Φ Z                     | 3   | -1     | Z Φ Z                     | 1   | 3   | -1     | [-τ/2, -σ/2, 1/2, 0]                               | [[-i*σ/2-τ/2, 1/2], [-1/2, i*σ/2-τ/2]]
49 b | Z Φ Z†                    | 3   | Z Φ Z†                    | 1   | 3   | "                         | "   | 1      | "                         | "   | "   | 1      | [τ/2, σ/2, -1/2, 0]                                | [[i*σ/2+τ/2, -1/2], [1/2, -i*σ/2+τ/2]]

50 a | X Φ† Φ†                   | 3   | Z Φ† F†                   | 1   | 3   | X Φ† Φ†                   | 3   | ω^2    | Z Φ† F†                   | 1   | 3   | ω      | [0, -τ/2, 1/2, -σ/2]                               | [[-i*τ/2, -i*σ/2+1/2], [-i*σ/2-1/2, i*τ/2]]
50 b | X† Φ† Φ†                  | 3   | Z† Φ† F†                  | 1   | 3   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-3   | [0, τ/2, -1/2, σ/2]                                | [[i*τ/2, i*σ/2-1/2], [i*σ/2+1/2, -i*τ/2]]

51 a | Z Φ† Z                    | 3   | Z Φ† Z                    | 1   | 3   | Z Φ† Z                    | 3   | -1     | Z Φ† Z                    | 1   | 3   | -1     | [-τ/2, σ/2, -1/2, 0]                               | [[i*σ/2-τ/2, -1/2], [1/2, -i*σ/2-τ/2]]
51 b | Z Φ† Z†                   | 3   | Z Φ† Z†                   | 1   | 3   | "                         | "   | 1      | "                         | "   | "   | 1      | [τ/2, -σ/2, 1/2, 0]                                | [[-i*σ/2+τ/2, 1/2], [-1/2, i*σ/2+τ/2]]

52 a | Φ F X                     | 3   | Φ F X                     | 1   | 3   | Φ F X                     | 3   | ω^3    | Φ F X                     | 1   | 3   | ω^3    | [-σ/2, 0, -1/2, -τ/2]                              | [[-σ/2, -i*τ/2-1/2], [-i*τ/2+1/2, -σ/2]]
52 b | Φ F X†                    | 3   | Φ F X†                    | 1   | 3   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [σ/2, 0, 1/2, τ/2]                                 | [[σ/2, i*τ/2+1/2], [i*τ/2-1/2, σ/2]]

53 a | Z Φ Φ                     | 3   | Φ† Z F†                   | 1   | 3   | Z Φ Φ                     | 3   | ω^2    | Φ† Z F†                   | 1   | 3   | ω      | [1/2, -σ/2, 0, -τ/2]                               | [[-i*σ/2+1/2, -i*τ/2], [-i*τ/2, i*σ/2+1/2]]
53 b | Z† Φ Φ                    | 3   | Φ† Z† F†                  | 1   | 3   | "                         | "   | ω^-2   | "                         | "   | "   | ω^-3   | [-1/2, σ/2, 0, τ/2]                                | [[i*σ/2-1/2, i*τ/2], [i*τ/2, -i*σ/2-1/2]]

54 a | F Φ Φ                     | 3   | Φ† Z† F                   | 1   | 3   | F Φ Φ                     | 3   | ω      | Φ† Z F                    | 1   | 3   | ω^-1   | [τ/2, 1/2, 0, -σ/2]                                | [[τ/2+i/2, -i*σ/2], [-i*σ/2, τ/2-i/2]]
54 b | Φ† Z F                    | 3   | Φ† Z F                    | 1   | 3   | "                         | "   | ω^-3   | "                         | "   | "   | ω^3    | [-τ/2, -1/2, 0, σ/2]                               | [[-τ/2-i/2, i*σ/2], [i*σ/2, -τ/2+i/2]]

55 a | Φ Φ                       | 2   | F X Φ† Z                  | 1   | 4   | Φ Φ                       | 2   | 1      | F X Φ† Z                  | 1   | 4   | ω^-3   | [σ/2, 1/2, τ/2, 0]                                 | [[σ/2+i/2, τ/2], [-τ/2, σ/2-i/2]]
55 b | Φ† Φ† Φ†                  | 3   | F X Φ† Z†                 | 1   | 4   | "                         | "   | -1     | "                         | "   | "   | ω      | [-σ/2, -1/2, -τ/2, 0]                              | [[-σ/2-i/2, -τ/2], [τ/2, -σ/2+i/2]]

56 a | X F† Φ† Z                 | 4   | X F† Φ† Z                 | 1   | 4   | X F† Φ† Z                 | 4   | ω^3    | X F† Φ† Z                 | 1   | 4   | ω^3    | [0, -σ/2, τ/2, -1/2]                               | [[-i*σ/2, τ/2-i/2], [-τ/2-i/2, i*σ/2]]
56 b | X F† Φ† Z†                | 4   | X F† Φ† Z†                | 1   | 4   | "                         | "   | ω^-1   | "                         | "   | "   | ω^-1   | [0, σ/2, -τ/2, 1/2]                                | [[i*σ/2, -τ/2+i/2], [τ/2+i/2, -i*σ/2]]

57 a | X Z Φ F                   | 4   | X Z Φ F                   | 1   | 4   | X Z Φ F                   | 4   | ω^-3   | X Z Φ F                   | 1   | 4   | ω^-3   | [0, -σ/2, τ/2, 1/2]                                | [[-i*σ/2, τ/2+i/2], [-τ/2+i/2, i*σ/2]]
57 b | X Z† Φ F                  | 4   | X Z† Φ F                  | 1   | 4   | "                         | "   | ω      | "                         | "   | "   | ω      | [0, σ/2, -τ/2, -1/2]                               | [[i*σ/2, -τ/2-i/2], [τ/2-i/2, -i*σ/2]]

58 a | Φ Z Φ†                    | 3   | X Z Φ† Z                  | 1   | 4   | Φ Z Φ†                    | 3   | ω^2    | X Z Φ† Z                  | 1   | 4   | ω^-2   | [0, -1/2, -σ/2, τ/2]                               | [[-i/2, -σ/2+i*τ/2], [σ/2+i*τ/2, i/2]]
58 b | Φ Z† Φ†                   | 3   | X Z Φ† Z†                 | 1   | 4   | "                         | "   | ω^-2   | "                         | "   | "   | ω^2    | [0, 1/2, σ/2, -τ/2]                                | [[i/2, σ/2-i*τ/2], [-σ/2-i*τ/2, -i/2]]

59 a | Φ† Φ†                     | 2   | X Z† Φ† F†                | 1   | 4   | Φ† Φ†                     | 2   | 1      | X Z Φ† F†                 | 1   | 4   | ω^-1   | [σ/2, -1/2, -τ/2, 0]                               | [[σ/2-i/2, -τ/2], [τ/2, σ/2+i/2]]
59 b | Φ Φ Φ                     | 3   | X Z Φ† F†                 | 1   | 4   | "                         | "   | -1     | "                         | "   | "   | ω^3    | [-σ/2, 1/2, τ/2, 0]                                | [[-σ/2+i/2, τ/2], [-τ/2, -σ/2-i/2]]

60 a | X Φ Φ                     | 3   | Z F Φ† Z                  | 1   | 4   | X Φ Φ                     | 3   | ω^2    | Z F Φ† Z                  | 1   | 4   | ω^-3   | [0, τ/2, -1/2, -σ/2]                               | [[i*τ/2, -i*σ/2-1/2], [-i*σ/2+1/2, -i*τ/2]]
60 b | X† Φ Φ                    | 3   | Z F Φ† Z†                 | 1   | 4   | "                         | "   | ω^-2   | "                         | "   | "   | ω      | [0, -τ/2, 1/2, σ/2]                                | [[-i*τ/2, i*σ/2+1/2], [i*σ/2-1/2, i*τ/2]]

